"CODIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECION";"CP";"POBLACION";"PROVINCIA";"PAIS";"CERCANIAS";"FEVE";"COMUN"
"54413";"MÁLAGA MARÍA ZAMBRANO";"36.7113388";"-4.4313888";"C/ Explanada de la Estación, S/N";"29002";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54500";"MÁLAGA M.Z. CERCANÍAS";"36.7113885";"-4.4328909";"";"";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54501";"VICTORIA KENT";"36.7012229";"-4.4544145";"Platero Francisco Vazquez, S/N.";"29003";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54503";"GUADALHORCE";"36.6920757";"-4.4836844";"C/ Cesar Vallejo, S/N.";"29004";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54504";"AEROPUERTO (ADPD)";"36.6843269";"-4.4960440";"";"";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54505";"MÁLAGA-AEROPUERTO";"36.6777169";"-4.4901607";"Avda. Comandante García Morato, S/N.";"29140";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54506";"SAN JULIAN (APD)";"36.6625115";"-4.4802844";"";"";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54507";"CAMPO D GOLF-CAMPAMENTO (APT)";"36.6503600";"-4.4829310";"";"";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54508";"LA COLINA";"36.6419236";"-4.4926383";"Urbanizacion la Colina, S/N";"29620";"TORREMOLINOS";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54509";"TORREMOLINOS";"36.6225596";"-4.4995700";"Pza. de la Nogalera, S/N";"29620";"TORREMOLINOS";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54510";"EL PINILLO";"36.6098688";"-4.5153735";"C/ Decano Juan de Hoyos, S/N";"29620";"TORREMOLINOS";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54511";"BENALMÁDENA-ARROYO DE LA MIEL";"36.5991116";"-4.5363459";"Avda. de la Estación, S/N.";"29631";"BENALMÁDENA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54512";"TORREMUELLE";"36.5822966";"-4.5670183";"Urbanizacion Torremuelle";"29639";"BENALMÁDENA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54513";"CARVAJAL";"36.5702590";"-4.5940491";"Calle Sierra de Cazorla S/N, Fuengirola (Málaga)";"29640";"FUENGIROLA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54514";"TORREBLANCA DEL SOL";"36.5649071";"-4.6067106";"Puebla  Blanca, S/N.";"29640";"FUENGIROLA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54515";"LOS BOLICHES";"36.5546583";"-4.6145767";"Avda. de los Boliches, S/N.";"29640";"FUENGIROLA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54516";"FUENGIROLA";"36.5418947";"-4.6238580";"Avda. Jesus Santos Rein, S/N";"29640";"FUENGIROLA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54517";"MÁLAGA-CENTRO ALAMEDA";"36.7159539";"-4.4265335";"Avda. de la Aurora, S/N";"29002";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54518";"LOS ÁLAMOS";"36.6450587";"-4.4851186";"Calle Menton S/N, Torremolinos (Málaga)";"29620";"TORREMOLINOS";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54519";"MONTEMAR ALTO";"36.6136673";"-4.5094259";"C/ Jacinto Mesa, S/N";"29620";"TORREMOLINOS";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"54520";"PLAZA MAYOR";"36.6562029";"-4.4803044";"Alfonso Ponce de Leon, S/N.";"29004";"MÁLAGA";"MÁLAGA";"ESPAÑA";"SI";"NO";""
"55001";"CAMPILLOS";"37.0322310";"-4.8634990";"Ctra. Estación Ferrocarril, S/N";"29320";"CAMPILLOS";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55002";"TEBA";"36.9945970";"-4.9239240";"";"";"TEBA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55003";"ALMARGEN-CAÑETE LA REAL";"37.0009850";"-5.0201110";"C/ Cortina Estación, 1b";"29330";"ALMARGEN";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55004";"ATALAYA";"36.9817160";"-5.0735040";"";"";"CAÑETE LA REAL";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55005";"SETENIL";"36.8634230";"-5.1213750";"Ctra. Ca-414 - Estación de Ferrocarril, S/N";"11692";"SETENIL DE LAS BODEGAS";"CÁDIZ";"ESPAÑA";"NO";"NO";""
"55006";"PARCHITE (APD)";"";"";"";"";"ARRIATE";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55007";"RONDA";"36.7484010";"-5.1619700";"Avda. de Andalucia, 31";"29400";"RONDA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55008";"ARRIATE";"36.7905949";"-5.1407570";"Ctra. Ma -7400 - Estación Ferrocarril, S/N";"29350";"ARRIATE";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55009";"LA INDIANA (APT)";"36.7591680";"-5.1982370";"";"";"RONDA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55010";"BENAOJÁN-MONTEJAQUE";"36.7137530";"-5.2463660";"Ctra. Estación Benaojan, S/N";"29370";"BENAOJÁN";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55011";"JIMERA DE LÍBAR";"36.6606780";"-5.2814730";"Avda. la Barca --- C/ Fuente Grande, S/N";"29392";"JIMERA DE LÍBAR";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55012";"CORTES DE LA FRONTERA";"36.5973640";"-5.3327840";"Avda. Llano de la Estación, S/N";"29391";"CORTES DE LA FRONTERA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55013";"GAUCÍN";"36.5403720";"-5.3868250";"Ctra. Ma - 512 --- Estación Ferrocarril, S/N";"29490";"CORTES DE LA FRONTERA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"55014";"SAN PABLO";"36.4679520";"-5.4189210";"Ctra. A-405 - Estación Ferracarril, S/N";"11320";"JIMENA DE LA FRONTERA";"CÁDIZ";"ESPAÑA";"NO";"NO";""
"55015";"JIMENA DE LA FRONTERA";"36.4242000";"-5.4341130";"C/ Juan de Dios, 15";"11339";"JIMENA DE LA FRONTERA";"CÁDIZ";"ESPAÑA";"NO";"NO";""
"55016";"CASTELLAR DE LA FRONTERA (APD)";"36.2841160";"-5.4239050";"";"";"CASTELLAR DE LA FRONTERA";"CÁDIZ";"ESPAÑA";"NO";"NO";""
"55017";"ALMORAIMA";"36.2775100";"-5.4305290";"Ctra. A- 405 - Estación Ferrocarril, S/N";"11350";"CASTELLAR DE LA FRONTERA";"CÁDIZ";"ESPAÑA";"NO";"NO";""
"55018";"SAN ROQUE-LA LÍNEA";"36.2144820";"-5.4323990";"Avda. Guadarranque, 34";"11368";"SAN ROQUE";"CÁDIZ";"ESPAÑA";"NO";"NO";""
"55019";"LOS BARRIOS";"36.1739980";"-5.4608010";"Ctra. Jerez - Algeciras - Estación Ferrocarril, 1";"11370";"BARRIOS (LOS)";"CÁDIZ";"ESPAÑA";"NO";"NO";""
"55020";"ALGECIRAS";"36.1268310";"-5.4511080";"Avda. Gesto Por la Paz, S/N";"11207";"ALGECIRAS";"CÁDIZ";"ESPAÑA";"NO";"NO";""
"55555";"CAUDETE";"38.7160461";"-0.9589219";"";"";"CAUDETE";"VALENCIA/VALÈNCIA";"ESPAÑA";"NO";"NO";""
"56001";"TORREBLASCOPEDRO (APD)";"37.9963190";"-3.6195810";"";"";"TORREBLASCOPEDRO";"JAÉN";"ESPAÑA";"NO";"NO";""
"56002";"BEGIJAR";"37.9647930";"-3.5945630";"";"";"BEGÍJAR";"JAÉN";"ESPAÑA";"NO";"NO";""
"56003";"GARCIEZ-JIMENA (APD-CGD)";"37.9277450";"-3.4721650";"";"";"BAEZA";"JAÉN";"ESPAÑA";"NO";"NO";""
"56004";"JÓDAR-ÚBEDA";"37.9133430";"-3.3489200";"Ctra. A - 401 --- Estación de Ferrocarril, S/N";"23400";"JÓDAR";"JAÉN";"ESPAÑA";"NO";"NO";""
"56005";"LOS PROPIOS-CAZORLA";"37.8920430";"-3.2824510";"";"";"ÚBEDA";"JAÉN";"ESPAÑA";"NO";"NO";""
"56006";"QUESADA (APD)";"";"";"";"";"QUESADA";"JAÉN";"ESPAÑA";"NO";"NO";""
"56007";"LARVA";"37.7771470";"-3.2317190";"";"";"CABRA DEL SANTO CRISTO";"JAÉN";"ESPAÑA";"NO";"NO";""
"56008";"HUESA";"37.7171480";"-3.1871030";"";"";"CABRA DEL SANTO CRISTO";"JAÉN";"ESPAÑA";"NO";"NO";""
"56009";"CABRA DEL SANTO CRISTO Y ALICÚN";"37.6567129";"-3.2626230";"Ctra. Jv - 3212 --- Estación Ferrocarril, S/N";"23590";"CABRA DEL SANTO CRISTO";"JAÉN";"ESPAÑA";"NO";"NO";""
"56010";"HUELMA (APD-CGD)";"37.6171300";"-3.2968090";"";"";"HUELMA";"JAÉN";"ESPAÑA";"NO";"NO";""
"56011";"ALAMEDILLA-GUADAHORTUNA";"37.5802420";"-3.3029470";"";"";"ALAMEDILLA";"GRANADA";"ESPAÑA";"NO";"NO";""
"56012";"PEDRO MARTINEZ";"37.5065699";"-3.3207400";"";"";"PEDRO MARTÍNEZ";"GRANADA";"ESPAÑA";"NO";"NO";""
"56100";"MOREDA";"37.4312160";"-3.3105160";"Ctra. Gr-4101 - Estación de Ferrocarril, 26";"18540";"MORELÁBOR";"GRANADA";"ESPAÑA";"NO";"NO";""
"56101";"HUELAGO, DARRO Y DIEZMA";"37.4033730";"-3.2520830";"";"";"HUÉLAGO";"GRANADA";"ESPAÑA";"NO";"NO";""
"56102";"FONELAS (APT)";"37.4042570";"-3.2019120";"";"";"FONELAS";"GRANADA";"ESPAÑA";"NO";"NO";""
"56103";"BENALÚA DE GUADIX";"37.3452770";"-3.1631770";"Avda. Llano de la Estación, S/N";"18510";"BENALÚA";"GRANADA";"ESPAÑA";"NO";"NO";""
"56200";"GUADIX";"37.3168730";"-3.1272090";"Avda. Estación Ferrocarril, S/N";"18500";"GUADIX";"GRANADA";"ESPAÑA";"NO";"NO";""
"56201";"LACALAHORRA-FERREIRA";"37.2511320";"-3.0282750";"";"";"CALAHORRA (LA)";"GRANADA";"ESPAÑA";"NO";"NO";""
"56300";"HUENEJA-DOLAR";"37.2232200";"-2.9560880";"";"";"HUÉNEJA";"GRANADA";"ESPAÑA";"NO";"NO";""
"56301";"FIÑANA";"37.1846470";"-2.8397570";"Ctra. Al - 6401 --- Diseminado Cortijo Faz,s/n";"04500";"FIÑANA";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56302";"ABLA Y ABRUCENA";"37.1698510";"-2.7704200";"";"";"ABLA";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56303";"DONA MARIA-OCANA";"37.1255500";"-2.6123590";"";"";"MARÍA";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56304";"NACIMIENTO";"";"";"";"";"NACIMIENTO";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56305";"GÉRGAL";"37.1088470";"-2.5915560";"Ctra. Al - 3410 --- Estación Ferrocarril, S/N";"04458";"GÉRGAL";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56306";"FUENTE SANTA";"37.0436680";"-2.5245420";"";"";"GÉRGAL";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56307";"SANTA FE-ALHAMA";"36.9742540";"-2.5397290";"";"";"SANTA FE DE MONDÚJAR";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56308";"GÁDOR";"36.9516240";"-2.4876580";"Ctra. Al - 3411 --- C/ Retiro, S/N";"04560";"GÁDOR";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56309";"BENAHADUX-PECHINA (APT-CGD)";"36.9248710";"-2.4552490";"";"";"BENAHADUX";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56310";"HUERCAL-VIATOR";"36.8851550";"-2.4367180";"Estación Ffcc - C/ Real S/N - 04230 Huercal de Almeríao (Almería)";"04230";"HUÉRCAL DE ALMERÍA";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"56312";"ALMERÍA";"36.8349510";"-2.4555190";"Pla. Estación Ferrocarril, S/N";"04006";"ALMERÍA";"ALMERÍA";"ESPAÑA";"NO";"NO";""
"57002";"PINAR (APT-CGD)";"37.3990700";"-3.4238400";"";"";"PÍÑAR";"GRANADA";"ESPAÑA";"NO";"NO";""
"57003";"IZNALLOZ";"37.3958520";"-3.5279470";"C/ Explanada Estación Ferrocarril, S/N";"18550";"IZNALLOZ";"GRANADA";"ESPAÑA";"NO";"NO";""
"57004";"DEIFONTES (APT)";"37.3353710";"-3.5870410";"";"";"DEIFONTES";"GRANADA";"ESPAÑA";"NO";"NO";""
"57005";"CALICASAS (APD)";"";"";"";"";"CALICASAS";"GRANADA";"ESPAÑA";"NO";"NO";""
"57006";"ALBOLOTE";"37.2379250";"-3.6515080";"";"";"ALBOLOTE";"GRANADA";"ESPAÑA";"NO";"NO";""
"5820B";"FUENGIROLA";"";"";"";"";"FUENGIROLA";"";"ESPAÑA";"NO";"NO";""
"58201";"FUENGIROLA";"";"";"";"";"FUENGIROLA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"5822B";"MARBELLA";"";"";"";"";"MARBELLA";"";"ESPAÑA";"NO";"NO";""
"58221";"MARBELLA";"";"";"";"";"MARBELLA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"5824B";"SAN PEDRO DE ALCANTARA";"";"";"";"";"MARBELLA";"";"ESPAÑA";"NO";"NO";""
"58241";"SAN PEDRO DE ALCANTARA";"";"";"";"";"MARBELLA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"5826B";"ESTEPONA";"";"";"";"";"ESTEPONA";"";"ESPAÑA";"NO";"NO";""
"58261";"ESTEPONA";"";"";"";"";"ESTEPONA";"MÁLAGA";"ESPAÑA";"NO";"NO";""
"5901B";"SANTA POLA";"";"";"";"";"SANTA POLA";"";"ESPAÑA";"NO";"NO";""
"59011";"SANTA POLA";"";"";"";"";"SANTA POLA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"5902B";"LA MARINA";"";"";"";"";"ALICANTE/ALACANT";"";"ESPAÑA";"NO";"NO";""
"59021";"LA MARINA";"";"";"";"";"ALICANTE/ALACANT";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"5903B";"GUARDAMAR DEL SEGURA";"";"";"";"";"GUARDAMAR DEL SEGURA";"";"ESPAÑA";"NO";"NO";""
"59031";"GUARDAMAR DEL SEGURA";"";"";"";"";"GUARDAMAR DEL SEGURA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"5904B";"LA MATA";"";"";"";"";"TORREVIEJA";"";"ESPAÑA";"NO";"NO";""
"59041";"LA MATA";"";"";"";"";"TORREVIEJA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"5905B";"TORREVIEJA";"";"";"";"";"TORREVIEJA";"";"ESPAÑA";"NO";"NO";""
"59051";"TORREVIEJA";"";"";"";"";"TORREVIEJA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"5906B";"CAMPOAMOR";"";"";"";"";"ALICANTE/ALACANT";"";"ESPAÑA";"NO";"NO";""
"59061";"CAMPOAMOR (BUS)";"";"";"";"";"ALICANTE/ALACANT";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60000";"MADRID-PUERTA DE ATOCHA-ALMUDENA GRANDES";"40.4064420";"-3.6908860";"Glorieta Emperador Carlos V, S/N";"28045";"MADRID";"MADRID";"ESPAÑA";"SI";"NO";"MADRI"
"60001";"MADRID-SANTA CATALINA";"40.3724410";"-3.6795370";"";"";"MADRID";"MADRID";"ESPAÑA";"SI";"NO";""
"60002";"MADRID-CERRO PL";"";"";"";"";"MADRID";"MADRID";"ESPAÑA";"SI";"NO";""
"60005";"MADRID-ATOCHA";"";"";"";"";"MADRID";"MADRID";"ESPAÑA";"SI";"NO";""
"60100";"MADRID-VILLAVERDE BAJO";"40.3526762";"-3.6838977";"C/ Juan Jose Martinez Seco S/N";"28021";"MADRID";"MADRID";"ESPAÑA";"SI";"NO";""
"60101";"SAN CRISTÓBAL INDUSTRIAL";"40.3318587";"-3.6989600";"C/ Transversal Sexta S/N";"28021";"MADRID";"MADRID";"ESPAÑA";"SI";"NO";""
"60102";"GETAFE-INDUSTRIAL";"40.3057176";"-3.7078359";"Avda. de John Lennon S/N, Getafe (Madrid)";"28903";"GETAFE";"MADRID";"ESPAÑA";"SI";"NO";""
"60103";"PINTO";"40.2428555";"-3.7035303";"Calle Crist S/N, Esq. Calle Ferrocarril, Pinto (Madrid)";"28320";"PINTO";"MADRID";"ESPAÑA";"SI";"NO";""
"60104";"VALDEMORO";"40.1960779";"-3.6649372";"C/ de Lanzarote S/N / Paseo de la Estación S/N";"28340";"VALDEMORO";"MADRID";"ESPAÑA";"SI";"NO";""
"60105";"CIEMPOZUELOS";"40.1592011";"-3.6101851";"Avda. San Juan de Dios S/N --- Paseo de la Estación, S/N";"28350";"CIEMPOZUELOS";"MADRID";"ESPAÑA";"SI";"NO";""
"60106";"SESEÑA";"40.0959940";"-3.6287550";"";"";"SESEÑA";"MADRID";"ESPAÑA";"SI";"NO";""
"60107";"SAN CRISTÓBAL DE LOS ÁNGELES";"40.3424144";"-3.6839795";"C/ Paterna S/N";"28021";"MADRID";"MADRID";"ESPAÑA";"SI";"NO";""
"60109";"EL CASAR";"40.3185223";"-3.7098062";"Avda. del Casar, S/N";"28903";"GETAFE";"MADRID";"ESPAÑA";"SI";"NO";""
"60115";"PARQ. OCIO";"40.2336700";"-3.5962360";"";"";"SAN MARTÍN DE LA VEGA";"MADRID";"ESPAÑA";"SI";"NO";""
"60116";"S.MAR.VEGA";"40.2190560";"-3.5672480";"";"";"SAN MARTÍN DE LA VEGA";"MADRID";"ESPAÑA";"SI";"NO";""
"60200";"ARANJUEZ";"40.0350257";"-3.6182534";"Pla. de la Estación, 1";"28300";"ARANJUEZ";"MADRID";"ESPAÑA";"SI";"NO";""
"60201";"LAS INFANTAS (APD-CGD)";"39.9957090";"-3.6824010";"";"";"ARANJUEZ";"MADRID";"ESPAÑA";"NO";"NO";""
"60202";"CASTILLEJO-AÑOVER";"39.9496340";"-3.7387740";"Ctra. M - 416 --- Añover-Yepes --- Estación Ferrocarril, S/N";"28300";"ARANJUEZ";"MADRID";"ESPAÑA";"NO";"NO";""
"60203";"VILLASEQUILLA";"39.8795350";"-3.7284530";"Paseo Estación Ferrocarril, S/N";"45740";"VILLASEQUILLA";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60204";"HUERTA DE VALDECARABANOS";"39.8182720";"-3.6464320";"";"";"HUERTA DE VALDECARÁBANOS";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60205";"EL CASAR DE LA GUARDIA (APD)";"39.7684110";"-3.5754580";"";"";"GUARDIA (LA)";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60206";"TEMBLEQUE";"39.7229580";"-3.4973540";"C/ Camino de la Celadilla, S/N";"45770";"TEMBLEQUE";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60207";"EL ROMERAL";"39.6945160";"-3.4305020";"Pla. Esquina del Cristino, S/N";"45770";"ROMERAL (EL)";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60300";"VILLACAÑAS";"39.6226980";"-3.3305100";"Paseo Estación Ferrocarril, S/N";"45860";"VILLACAÑAS";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60301";"QUERO";"39.5041730";"-3.2660720";"Ctra. Estación Ferrocarril, S/N";"45790";"QUERO";"TOLEDO";"ESPAÑA";"NO";"NO";""
"60400";"ALCÁZAR DE SAN JUAN";"39.3956280";"-3.2057440";"C/ Alvarez Guerra, S/N";"13600";"ALCÁZAR DE SAN JUAN";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
"60402";"CAMPO DE CRIPTANA";"39.3943430";"-3.1177460";"Avda. Agustin de la Fuente, 49";"13610";"CAMPO DE CRIPTANA";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
"60403";"ARENALES (APD)";"39.3529710";"-3.0209420";"";"";"CAMPO DE CRIPTANA";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
"60404";"RIO ZANCARA";"39.3334260";"-2.9494720";"";"";"TOMELLOSO";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
"60405";"CORCOLES (APD)";"";"";"";"";"SOCUÉLLAMOS";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
